POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TRANSACTION NUMBER,TRANSPONDER/LICENSE PLATE,AGENCY NAME,LANE,AXLE,DESCRPTION / PLAZA NAME,AMOUNT
11/06/2020,10/16/2020,03:42:06 PM,32311632847,2852189-IN,Miami-Dade Expressway Authority,22S,3,SR 874 NORTH (KILLIAN),($0.46)
11/06/2020,11/06/2020,10:01:56 AM,32311642219,2892101-IN,Florida Turnpike Enterprise,50S,3,SR23 NEW WORLD MAIN NB MP43,($0.40)
11/06/2020,10/16/2020,01:18:35 PM,32311625831,2852174-IN,Miami-Dade Expressway Authority,12S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/06/2020,10/16/2020,01:19:57 PM,32311625815,2852174-IN,Miami-Dade Expressway Authority,22S,3,SR 874 NORTH (KILLIAN),($0.46)
11/06/2020,10/23/2020,03:11:17 PM,32311600381,2852189-IN,Miami-Dade Expressway Authority,12S,2,SR 874 NORTH (AT TURNPIKE),($0.23)
11/06/2020,10/16/2020,01:23:09 PM,32311590803,2852174-IN,Miami-Dade Expressway Authority,42S,2,SR 874 NORTH (AT SR826),($0.47)
11/06/2020,09/20/2020,10:30:58 PM,32311549921,2841976-IN,Florida Turnpike Enterprise,60S,5,SR23 NORMANDY MAIN SB MP42,($0.80)
11/06/2020,09/20/2020,08:27:23 PM,32311518203,2882985-IN,Florida Turnpike Enterprise,60S,3,SR23 NEW WORLD MAIN SB MP43,($0.40)
11/06/2020,09/20/2020,10:29:34 PM,32311515530,2841976-IN,Florida Turnpike Enterprise,60S,5,SR23 NEW WORLD MAIN SB MP43,($0.80)
11/06/2020,09/13/2020,06:44:31 AM,32311345155,2882987-IN,Florida Turnpike Enterprise,50S,3,SR23 NORMANDY MAIN NB MP42,($0.40)
11/06/2020,11/06/2020,09:32:55 AM,32311556401,2842053-IN,Florida Turnpike Enterprise,60S,5,SR23 NORMANDY MAIN SB MP42,($0.80)
11/06/2020,10/15/2020,01:04:56 PM,32311537936,2882990-IN,Florida Turnpike Enterprise,50S,3,SR23 NORMANDY MAIN NB MP42,($0.40)
11/06/2020,10/16/2020,02:26:42 AM,32310978487,2852189-IN,Miami-Dade Expressway Authority,81S,5,SR 924 WEST (57TH AVE),($0.94)
11/06/2020,11/06/2020,04:21:29 AM,32311449327,2852172-IN,Florida Turnpike Enterprise,6D,5,EVERGLADES EAST,($11.76)
11/06/2020,08/27/2020,03:25:02 AM,32310923387,2882987-IN,Florida Turnpike Enterprise,4D,5,SR570 AIRPORT RD EAST/WEST MP3,($1.04)
11/06/2020,11/06/2020,07:15:34 AM,32310851427,2882997-IN,Florida Turnpike Enterprise,50S,3,SR23 NEW WORLD MAIN NB MP43,($0.40)
11/06/2020,11/06/2020,08:42:42 AM,32311345623,2842053-IN,Florida Turnpike Enterprise,50S,5,SR23 NEW WORLD MAIN NB MP43,($0.80)
11/06/2020,11/06/2020,08:41:12 AM,32311316497,2842053-IN,Florida Turnpike Enterprise,50S,5,SR23 NORMANDY MAIN NB MP42,($0.80)
11/06/2020,10/04/2020,04:01:03 PM,32310556411,2852180-IN,Florida Turnpike Enterprise,60S,3,SR821 HOMESTEAD MAIN SB MP10,($2.14)
11/06/2020,09/20/2020,05:13:02 AM,32310551006,2882987-IN,Florida Turnpike Enterprise,50S,5,SR23 NEW WORLD MAIN NB MP43,($0.80)
